Gene ID, Cluster # 
At2g47520, 4.3 
At2g47710, 4.3 
At2g48010, 4.4 
At3g01350, 4.4 
At3g01490, 4.3 
At3g01850, 4.4 
At3g02480, 4.3 
At3g02550, 4.3 
At3g03270, 4.3 
At3g07390, 4.3 
At3g07600, 4.3 
At3g08040, 4.4 
At3g08590, 4.4 
At3g09830, 4.3 
At3g10040, 4.3 
At3g11750, 4.3 
At3g12150, 4.4 
At3g12520, 4.4 
At3g12700, 4.3 
At3g12900, 4.4 
At3g13380, 4.3 
At3g15352, 4.4 
At3g16860, 4.3 
At3g17250, 4.4 
At3g17611, 4.4 
At3g17860, 4.3 
At3g18250, 2 
At3g18710, 4.3 
At3g21600, 4.4 
At3g21720, 4.3 
At3g22370, 4.4 
At3g23150, 4.3 
At3g23570, 4.3 
At3g24450, 4.4 
At3g25250, 4.3 
At3g25610, 4.4 
At3g26470, 3 
At3g27150, 4.4 
At3g27220, 4.3 
At3g43510, 4.4 
At3g44720, 4.4 
At3g47420, 4.3 
At3g47730, 4.4 
At3g48080, 4.3 
At3g48850, 4.3 
At3g49320, 4.4 
At3g49530, 4.4 
At3g49750, 4.4 
At3g50260, 4.3 
At3g50930, 4.3 
At3g51200, 4.4 
At3g51860, 2 
At3g52400, 4.3 
At3g53150, 4.3 
At3g53270, 2 
At3g53280, 4.3 
At3g53810, 4.3 
At3g54640, 2 
At3g54920, 4.3 
At3g55890, 4.3 
At3g57380, 4.4 
At3g57660, 4.4 
At3g59820, 4.4 
At3g59910, 4.4 
At3g61630, 4.3 
At3g62880, 4.4 
At4g03320, 4.4 
At4g11280, 2 
At4g12750, 4.3 
At4g13770, 4.3 
At4g14020, 4.3 
At4g17260, 4.3 
At4g17670, 4.3 
At4g18910, 4.3 
At4g22530, 4.4 
At4g23750, 4.3 
At4g25390, 3 
At4g26270, 4.3 
At4g27450, 4.4 
At4g27940, 4.3 
At4g28720, 4.3 
At4g29020, 2 
At4g29230, 4.3 
At4g31500, 4.3 
At4g33070, 4.3 
At4g34710, 4.4 
At4g34950, 4.3 
At4g35550, 4.3 
At4g36010, 4.3 
At4g37370, 4.3 
At4g37730, 4.4 
At4g39720, 4.3 
At4g39740, 4.3 
At5g01550, 2 
At5g01670, 4.3 
At5g02150, 4.3 
At5g05190, 4.3 
At5g05730, 2 
At5g06740, 3 
At5g06860, 2 
At5g07390, 4.4 
At5g07800, 4.3 
At5g09290, 4.3 
At5g11210, 4.3 
At5g12330, 4.3 
At5g14730, 4.3 
At5g14920, 4.3 
At5g15120, 4.3 
At5g16570, 4.3 
At5g16930, 4.3 
At5g17760, 4.3 
At5g17990, 4.3 
At5g18270, 4.3 
At5g18470, 4.3 
At5g19550, 4.3 
At5g20880, 4.3 
At5g22270, 4.3 
At5g25440, 4.3 
At5g25460, 4.4 
At5g25930, 4.3 
At5g26920, 4.3 
At5g27420, 4.3 
At5g33290, 4.3 
At5g38210, 4.3 
At5g38900, 4.3 
At5g39050, 4.3 
At5g39850, 4.4 
At5g40690, 4.3 
At5g42670, 2 
At5g42830, 4.3 
At5g44510, 4.3 
At5g44730, 4.4 
At5g45080, 4.3 
At5g45350, 4.4 
At5g46710, 4.3 
At5g47060, 4.4 
At5g47810, 4.4 
At5g48410, 2 
At5g51440, 4.3 
At5g51460, 4.3 
At5g51830, 4.3 
At5g52640, 4.3 
At5g53420, 4.3 
At5g53990, 2 
At5g54390, 4.3 
At5g54960, 4.4 
At5g55200, 4.4 
At5g56090, 4.4 
At5g58210, 4.3 
At5g58670, 4.4 
At5g59030, 4.3 
At5g59320, 4.3 
At5g59820, 4.3 
At5g60100, 4.3 
At5g60280, 4.3 
At5g61010, 4.4 
At5g62190, 4.4 
At5g62480, 4.3 
At5g62520, 4.3 
At5g63770, 4.3 
At5g63990, 4.3 
At5g64660, 4.4 
At5g64890, 4.3 
At5g65640, 4.3 
At5g66985, 4.3 
At5g67430, 4.3 
At1g01490, 4.2 
At1g01730, 3 
At1g02080, 4.2 
At1g02120, 4.2 
At1g02140, 3 
At1g02170, 4.2 
At1g02840, 4.2 
At1g03280, 3 
At1g03290, 4.2 
At1g03330, 3 
At1g03860, 3 
At1g04080, 4.2 
At1g04260, 3 
At1g04850, 3 
At1g05520, 4.2 
At1g05720, 4.2 
At1g07360, 4.2 
At1g08320, 4.2 
At1g08470, 4.2 
At1g08700, 4.2 
At1g08880, 3 
At1g09130, 4.2 
At1g09920, 4.2 
At1g10740, 4.2 
At1g11310, 4.2 
At1g11910, 3 
At1g12410, 3 
At1g13590, 4.2 
At1g14710, 4.2 
At1g14850, 3 
At1g15920, 4.2 
At1g16470, 4.2 
At1g18390, 4.2 
At1g18450, 3 
At1g19110, 4.2 
At1g19130, 3 
At1g19180, 3 
At1g19240, 4.2 
At1g19800, 4.2 
At1g20110, 4.2 
At1g20430, 3 
At1g20693, 4.2 
At1g20696, 2 
At1g20960, 4.2 
At1g21370, 4.2 
At1g21900, 4.2 
At1g22410, 4.2 
At1g22840, 3 
At1g22930, 4.2 
At1g23260, 4.2 
At1g23860, 3 
At1g24050, 3 
At1g25380, 3 
At1g27320, 4.2 
At1g27390, 3 
At1g27450, 4.2 
At1g27520, 4.2 
At1g27650, 4.2 
At1g28060, 4.2 
At1g28120, 4.2 
At1g28130, 2 
At1g28280, 4.2 
At1g28290, 4.2 
At1g28395, 4.2 
At1g28680, 4.2 
At1g29330, 4.2 
At1g29340, 4.4 
At1g29760, 4.2 
At1g29970, 4.2 
At1g30910, 4.2 
At1g31130, 4.2 
At1g32130, 3 
At1g32190, 3 
At1g32370, 4.2 
At1g32580, 3 
At1g33410, 4.2 
At1g33490, 4.2 
At1g33990, 4.2 
At1g34760, 4.2 
At1g35780, 4.2 
At1g45000, 4.2 
At1g47970, 3 
At1g48090, 4.2 
At1g48410, 4.2 
At1g49600, 4.2 
At1g49760, 3 
At1g49820, 4.2 
At1g50640, 4.2 
At1g50660, 2 
At1g50920, 3 
At1g51200, 3 
At1g51720, 4.2 
At1g51980, 4.2 
At1g52740, 3 
At1g52980, 4.2 
At1g54610, 4.2 
At1g55900, 4.2 
At1g56280, 3 
At1g59890, 2 
At1g60190, 2 
At1g61620, 4.2 
At1g62800, 3 
At1g63290, 4.2 
At1g63770, 4.2 
At1g63980, 4.2 
At1g64230, 4.2 
At1g64550, 3 
At1g64980, 4.2 
At1g65220, 4.2 
At1g65820, 3 
At1g67280, 4.2 
At1g68070, 4.2 
At1g69250, 2 
At1g70610, 2 
At1g72770, 2 
At1g73490, 4.2 
At1g74230, 4.2 
At1g74260, 4.2 
At1g74560, 3 
At1g75400, 3 
At1g75660, 2 
At1g76010, 4.2 
At1g76550, 4.2 
At1g76950, 4.2 
At1g77370, 4.2 
At1g77440, 4.2 
At1g77710, 3 
At1g79390, 3 
At1g79550, 3 
At1g79810, 4.2 
At1g79830, 4.2 
At1g79975, 4.2 
At1g80070, 3 
At1g80180, 2 
At1g80230, 4.2 
At1g80360, 4.2 
At1g80460, 4.2 
At1g80780, 4.2 
At2g01470, 4.2 
At2g01650, 4.2 
At2g02390, 3 
At2g03220, 4.2 
At2g03800, 4.2 
At2g04030, 3 
At2g05790, 3 
At2g07180, 2 
At2g17370, 2 
At2g17990, 4.2 
At2g18040, 3 
At2g18390, 2 
At2g19540, 4.4 
At2g20060, 3 
At2g20360, 3 
At2g20810, 3 
At2g20900, 3 
At2g21060, 3 
At2g22490, 4.2 
At2g24200, 4.2 
At2g25590, 3 
At2g25730, 4.2 
At2g25970, 4.2 
At2g26060, 4.2 
At2g26230, 4.2 
At2g26430, 3 
At2g27920, 4.2 
At2g28070, 4.2 
At2g28290, 4.4 
At2g28370, 4.2 
At2g29080, 4.2 
At2g29400, 4.2 
At2g31350, 2 
At2g31400, 4.2 
At2g32850, 4.2 
At2g33210, 4.2 
At2g33310, 3 
At2g33340, 3 
At2g34357, 4.4 
At2g34970, 3 
At2g36070, 3 
At2g36530, 4.2 
At2g36680, 4.4 
At2g36880, 4.2 
At2g36900, 2 
At2g37040, 4.2 
At2g37120, 3 
At2g39200, 4.4 
At2g39795, 4.4 
At2g41410, 4.2 
At2g42210, 3 
At2g42580, 4.2 
At2g42680, 3 
At2g42790, 4.2 
At2g42810, 4.2 
At2g43420, 4.2 
At2g43970, 4.2 
At2g45170, 4.2 
At2g45400, 4.2 
At2g45430, 4.2 
At2g45710, 3 
At2g46230, 3 
At2g46390, 3 
At2g46900, 4.2 
At2g47840, 4.2 
At2g47900, 4.2 
At2g48100, 4.2 
At3g01120, 4.2 
At3g01420, 2 
At3g01540, 4.2 
At3g01790, 4.2 
At3g02200, 4.2 
At3g02260, 3 
At3g02360, 4.2 
At3g02520, 4.2 
At3g02570, 4.2 
At3g03100, 4.2 
At3g03120, 4.2 
At3g03600, 4.2 
At3g03890, 4.4 
At3g05290, 4.2 
At3g06350, 4.2 
At3g06400, 3 
At3g06890, 4.4 
At3g07100, 4.2 
At3g07270, 4.2 
At3g07480, 3 
At3g07560, 4.2 
At3g07770, 3 
At3g07910, 4.2 
At3g10340, 4.2 
At3g10380, 4.2 
